Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
JP1        SJ                 932.937mil   2503.937mil    932.937mil   2503.937mil    962.937mil   2503.937mil  T        180.00 SJ             
FB29       FB0603             773.393mil   2476.446mil    773.393mil   2476.446mil    773.393mil   2450.265mil  T         90.00 220R           
U18        SO-4               608.421mil   3152.549mil    608.421mil   3152.549mil    737.358mil   3127.549mil  T        180.00 TLP293         
R152       R0402              826.023mil   3096.575mil    826.074mil   3096.575mil    844.972mil   3096.575mil  T        180.00 1k             
R151       R0402              479.609mil   3069.673mil    479.609mil   3069.724mil    479.609mil   3088.622mil  T        270.00 10K            
R150       R0402               636.55mil   3068.081mil    636.499mil   3068.081mil    617.601mil   3068.081mil  T        360.00 10K            
Q8         SOT523_SMALL       568.981mil   3031.988mil    568.981mil   3031.988mil    533.548mil   3051.673mil  T          0.00 MMBT3904       
R149       R0402             1032.044mil   1916.708mil   1032.095mil   1916.708mil   1050.993mil   1916.708mil  T        180.00 100R           
C169       C0402             1031.812mil   1968.465mil   1031.662mil   1968.465mil   1012.962mil   1968.465mil  T        360.00 100nF          
FB28       FB0603            1583.804mil   2984.866mil   1583.804mil   2984.866mil   1609.986mil   2984.866mil  T        180.00 220R           
D73        SOD923-100X40-2N   3578.937mil   1848.937mil   3578.937mil   1848.937mil   3596.654mil   1848.937mil  T        360.00 ESD9B3.3ST5G   
D72        SOD923-100X40-2N   3503.937mil   1848.937mil   3503.937mil   1848.937mil    3486.22mil   1848.937mil  T        180.00 ESD9B3.3ST5G   
