"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"PB21_CS2","J20-1","1901mil","1506mil","Bottom","35.433mil","Through hole"
"PA27_SCLK","J20-2","1901mil","1406mil","Bottom","35.433mil","Through hole"
"PA26_MOSI","J20-3","1801mil","1506mil","Bottom","35.433mil","Through hole"
"PA25_MISO","J20-4","1801mil","1406mil","Bottom","35.433mil","Through hole"
"PB1_ETXEN","J20-5","1701mil","1506mil","Bottom","35.433mil","Through hole"
"PB0_ETXCK","J20-6","1701mil","1406mil","Bottom","35.433mil","Through hole"
"PB3_ETX1","J20-7","1601mil","1506mil","Bottom","35.433mil","Through hole"
"PB2_ETX0","J20-8","1601mil","1406mil","Bottom","35.433mil","Through hole"
"PB6_ERX1","J20-9","1501mil","1506mil","Bottom","35.433mil","Through hole"
"PB5_ERX0","J20-10","1501mil","1406mil","Bottom","35.433mil","Through hole"
"PB8_EMDC","J20-11","1401mil","1506mil","Bottom","35.433mil","Through hole"
"PB4_ECRSDV","J20-12","1401mil","1406mil","Bottom","35.433mil","Through hole"
"PB9_EMDIO","J20-13","1301mil","1506mil","Bottom","35.433mil","Through hole"
"PB7_ERXER","J20-14","1301mil","1406mil","Bottom","35.433mil","Through hole"
"PB15_DAC0","J20-15","1201mil","1506mil","Bottom","35.433mil","Through hole"
"PB16_DAC1","J20-16","1201mil","1406mil","Bottom","35.433mil","Through hole"
"PB14_PWMH2","J20-17","1101mil","1506mil","Bottom","35.433mil","Through hole"
"NRST","J20-18","1101mil","1406mil","Bottom","35.433mil","Through hole"
"PB13_AD9","J20-19","1001mil","1506mil","Bottom","35.433mil","Through hole"
"PB12_AD8","J20-20","1001mil","1406mil","Bottom","35.433mil","Through hole"
"PA18_SCL","J20-21","901mil","1506mil","Bottom","35.433mil","Through hole"
"PA17_SDA","J20-22","901mil","1406mil","Bottom","35.433mil","Through hole"
"NetTP59_1","TP59-1","2216.427mil","3102.277mil","Bottom","0mil","Surface mount"
"NetQ4_4","TP66-1","2330.201mil","3207.634mil","Bottom","0mil","Surface mount"
"NetC129_1","TP85-1","3645.025mil","257.497mil","Bottom","0mil","Surface mount"
"NetC130_1","TP86-1","3544.97mil","257.193mil","Bottom","0mil","Surface mount"
"NetC128_1","TP87-1","3445.137mil","257.485mil","Bottom","0mil","Surface mount"
"NetC127_1","TP88-1","3345.143mil","257.362mil","Bottom","0mil","Surface mount"
"NetC125_2","TP3-1","3538.713mil","731.731mil","Bottom","0mil","Surface mount"
"NetC110_1","TP126-1","3482.119mil","638.219mil","Bottom","0mil","Surface mount"
"NetC126_1","TP127-1","3351.48mil","561.965mil","Bottom","0mil","Surface mount"
"NetC104_1","TP125-1","3213.272mil","595.912mil","Bottom","0mil","Surface mount"
"NetC100_1","TP124-1","3094.089mil","662.21mil","Bottom","0mil","Surface mount"
"NetC147_1","TP89-1","3050.169mil","257.717mil","Bottom","0mil","Surface mount"
"NetC148_1","TP90-1","2949.936mil","257.802mil","Bottom","0mil","Surface mount"
"NetC146_1","TP91-1","2850.007mil","256.899mil","Bottom","0mil","Surface mount"
"NetC145_1","TP92-1","2749.958mil","255.814mil","Bottom","0mil","Surface mount"
"DECAY","TP105-1","3253.955mil","1294.543mil","Bottom","0mil","Surface mount"
"+12VCC3","TP43-1","3454mil","3234mil","Bottom","0mil","Surface mount"
"NetF2_1","TP48-1","3252mil","2996mil","Bottom","0mil","Surface mount"
"NetF1_1","TP44-1","3454mil","3049mil","Bottom","0mil","Surface mount"
"GND","TP51-1","3924mil","2982mil","Bottom","0mil","Surface mount"
"GND","TP45-1","3121mil","3661mil","Bottom","0mil","Surface mount"
"FGND","TP68-1","4001mil","1850mil","Bottom","0mil","Surface mount"
"USB_GND","TP60-1","113.763mil","2370.987mil","Bottom","0mil","Surface mount"
"NetC43_2","TP61-1","554.134mil","2313.976mil","Bottom","0mil","Surface mount"
"FN1","TP41-1","1681mil","3715mil","Bottom","0mil","Surface mount"
"+12VCC1","TP79-1","3833.053mil","1356.75mil","Bottom","0mil","Surface mount"
"NetF3_1","TP57-1","3897mil","2257mil","Bottom","0mil","Surface mount"
"+12VCC2","TP46-1","2914mil","3385mil","Bottom","0mil","Surface mount"
"NetC17_2","TP42-1","299mil","3545mil","Bottom","0mil","Surface mount"
"3.3VCC","TP47-1","2685mil","2962mil","Bottom","0mil","Surface mount"
"+5VCC","TP36-1","3651.077mil","3920.82mil","Bottom","0mil","Surface mount"
"HOLD#","TP78-1","2625mil","1365.5mil","Bottom","0mil","Surface mount"
"SPIFLASH_CS","TP74-1","3055.118mil","1500.984mil","Bottom","0mil","Surface mount"
"HTR0","TP40-1","490mil","3595mil","Bottom","0mil","Surface mount"
"HTR1","TP39-1","880mil","3606mil","Bottom","0mil","Surface mount"
"HTRA","TP38-1","1277mil","3606mil","Bottom","0mil","Surface mount"
"HTBD","TP37-1","2079mil","3606mil","Bottom","0mil","Surface mount"
"GND","TP55-1","3933mil","3311mil","Bottom","0mil","Surface mount"
"NetC78_1","TP95-1","2055.485mil","97.876mil","Bottom","0mil","Surface mount"
"NetC75_1","TP96-1","1801.508mil","261.694mil","Bottom","0mil","Surface mount"
"NetC79_1","TP93-1","2460.311mil","258.639mil","Bottom","0mil","Surface mount"
"NetC83_1","TP94-1","2359.555mil","259.042mil","Bottom","0mil","Surface mount"
"THERM_AN1","TP101-1","2598.81mil","1620.031mil","Bottom","0mil","Surface mount"
"ERASE","TP54-1","2579mil","2867.598mil","Bottom","0mil","Surface mount"
"RESET","TP56-1","1646mil","2593mil","Bottom","0mil","Surface mount"
"TMS/SWDIO","TP49-1","1958mil","2963mil","Bottom","0mil","Surface mount"
"TCK/SWDCLK","TP52-1","1909mil","2863mil","Bottom","0mil","Surface mount"
"TDO/SWO","TP50-1","1859mil","2963mil","Bottom","0mil","Surface mount"
"TDI","TP53-1","1809mil","2863mil","Bottom","0mil","Surface mount"
"NetC139_1","TP97-1","1355.144mil","258.335mil","Bottom","0mil","Surface mount"
"NetC140_1","TP98-1","1255.497mil","258.473mil","Bottom","0mil","Surface mount"
"NetC138_1","TP99-1","1154.439mil","258.579mil","Bottom","0mil","Surface mount"
"NetC137_1","TP100-1","1055.15mil","257.679mil","Bottom","0mil","Surface mount"
"NetC58_1","TP18-1","755.204mil","257.402mil","Bottom","0mil","Surface mount"
