Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\Archim\Project Outputs for Archim_0.4\Pick Place for Archim.csv

========================================================================================================================
File Design Information:

Date:       16/01/17
Time:       11:09
Revision:   0
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"JP1","SJ","TopLayer","SJ","679.000","2250.000","180","SMD solder jumper"
"FB29","220R","TopLayer","FB0603","519.456","2222.509","90","FERRITE BEAD 220 OHM 0603 1LN"
"U18","TLP293","TopLayer","SO-4","354.484","2898.612","180","Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO"
"R152","1k","TopLayer","R0402","572.086","2842.638","180","RES 0402 1k 63mW 1%"
"R151","10K","TopLayer","R0402","225.672","2815.736","270","RES SMD 10K OHM 1% 1/16W 0402"
"R150","10K","TopLayer","R0402","382.613","2814.144","360","RES SMD 10K OHM 1% 1/16W 0402"
"Q8","MMBT3904","TopLayer","SOT523_SMALL","315.044","2778.051","0","TRANS NPN 60V 0.2A SOT523"
"R149","100R","TopLayer","R0402","778.107","1662.771","180","RES SMD 100 OHM 1% 1/16W 0402"
"C169","100nF","TopLayer","C0402","777.875","1714.528","360","CAP CER 0402 100nF 16V 10% X7R"
"FB28","220R","TopLayer","FB0603","1329.867","2730.929","180","FERRITE BEAD 220 OHM 0603 1LN"
"D73","ESD9B3.3ST5G","TopLayer","SOD923-100X40-2N","3325.000","1595.000","360","11.5 V 15 pF SMT Transient Voltage Suppressor - SOD-923"
"D72","ESD9B3.3ST5G","TopLayer","SOD923-100X40-2N","3250.000","1595.000","180","11.5 V 15 pF SMT Transient Voltage Suppressor - SOD-923"
"D71","ESD9B3.3ST5G","TopLayer","SOD923-100X40-2N","1085.190","1329.063","360","11.5 V 15 pF SMT Transient Voltage Suppressor - SOD-923"
"D42","ESD9B3.3ST5G","TopLayer","SOD923-100X40-2N","747.311","2019.299","270","11.5 V 15 pF SMT Transient Voltage Suppressor - SOD-923"
"C167","100nF","TopLayer","C0402","713.658","1862.639","270","CAP CER 0402 100nF 16V 10% X7R"
"C166","100nF","TopLayer","C0402","3640.448","1600.418","360","CAP CER 0402 100nF 16V 10% X7R"
"C165","100nF","TopLayer","C0402","1934.192","3096.072","360","CAP CER 0402 100nF 16V 10% X7R"
"C164","100nF","TopLayer","C0402","786.889","1312.049","270","CAP CER 0402 100nF 16V 10% X7R"
"FB27","220R","TopLayer","FB0603","1327.726","1699.471","90","FERRITE BEAD 220 OHM 0603 1LN"
"FB25","220R","TopLayer","FB0603","3066.000","1182.000","180","FERRITE BEAD 220 OHM 0603 1LN"
"FB24","220R","TopLayer","FB0603","2387.000","1193.000","180","FERRITE BEAD 220 OHM 0603 1LN"
"FB23","220R","TopLayer","FB0603","950.000","1150.000","180","FERRITE BEAD 220 OHM 0603 1LN"
