Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\Archim PCB\Project Outputs for Archim_2.0a\Pick Place for Archim.csv

========================================================================================================================
File Design Information:

Date:       22/09/17
Time:       14:28
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)"
"R75","100K","TopLayer","R0402","3290.471","2138.221","360","RES SMD 100K OHM 1% 1/16W 0402","3290.420","2138.221"
"TVS3","TVS 30V SMF","TopLayer","SMF","704.724","494.094","90","TVS DIODE 30VWM 48.4VC SMF","704.724","494.094"
"FB29","120R","TopLayer","FB0603","519.456","2222.509","90","FERRITE BEAD 120 OHM 0603 1LN","519.456","2222.509"
"U18","TLP293","TopLayer","SO-4","354.484","2898.612","180","Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO","354.484","2898.612"
"R152","1k","TopLayer","R0402","572.086","2842.638","180","RES 0402 1k 63mW 1%","572.137","2842.638"
"R151","10K","TopLayer","R0402","225.672","2815.736","270","RES SMD 10K OHM 1% 1/16W 0402","225.672","2815.787"
"R150","10K","TopLayer","R0402","382.613","2814.144","360","RES SMD 10K OHM 1% 1/16W 0402","382.562","2814.144"
"Q8","MMBT3904","TopLayer","SOT523_SMALL","315.044","2778.051","0","TRANS NPN 60V 0.2A SOT523","315.044","2778.051"
"R149","100R","TopLayer","R0402","778.107","1662.771","180","RES SMD 100 OHM 1% 1/16W 0402","778.158","1662.771"
"C169","100nF","TopLayer","C0402","777.725","1714.528","360","CAP CER 0402 100nF 16V 10% X7R","777.725","1714.528"
"FB28","120R","TopLayer","FB0603","1329.867","2730.929","180","FERRITE BEAD 120 OHM 0603 1LN","1329.867","2730.929"
"D73","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","3325.000","1595.000","180","TVS DIODE 3.3VWM 10.4VC SOD923","3325.000","1595.000"
"D72","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","3250.000","1595.000","360","TVS DIODE 3.3VWM 10.4VC SOD923","3250.000","1595.000"
"D71","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","1085.000","1328.000","180","TVS DIODE 3.3VWM 10.4VC SOD923","1085.000","1328.000"
"D42","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","549.212","2033.465","180","TVS DIODE 3.3VWM 10.4VC SOD923","549.213","2033.465"
"C167","100nF","TopLayer","C0402","713.658","1862.789","270","CAP CER 0402 100nF 16V 10% X7R","713.658","1862.789"
"C166","100nF","TopLayer","C0402","3640.298","1600.418","360","CAP CER 0402 100nF 16V 10% X7R","3640.298","1600.418"
"C165","100nF","TopLayer","C0402","1934.042","3096.072","360","CAP CER 0402 100nF 16V 10% X7R","1934.042","3096.072"
"C164","100nF","TopLayer","C0402","799.213","1328.740","180","CAP CER 0402 100nF 16V 10% X7R","799.213","1328.740"
"FB27","120R","TopLayer","FB0603","1327.726","1699.471","90","FERRITE BEAD 120 OHM 0603 1LN","1327.726","1699.471"
"FB22","120R","TopLayer","FB0603","3702.165","1273.622","180","FERRITE BEAD 120 OHM 0603 1LN","3702.165","1273.622"
"U17","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","1870.724","822.640","90","IC STEPPER MOTOR DVR SPI 36QFN","1870.724","822.640"
"U16","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","1148.283","822.640","90","IC STEPPER MOTOR DVR SPI 36QFN","1148.283","822.640"
"U14","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","3315.606","822.640","90","IC STEPPER MOTOR DVR SPI 36QFN","3315.606","822.640"
"U13","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","2593.165","822.640","90","IC STEPPER MOTOR DVR SPI 36QFN","2593.165","822.640"
"TVS20","TVS 30V SMF","TopLayer","SMF","1342.520","494.094","90","TVS DIODE 30VWM 48.4VC SMF","1342.520","494.094"
"TVS19","TVS 30V SMF","TopLayer","SMF","1427.166","494.094","90","TVS DIODE 30VWM 48.4VC SMF","1427.166","494.094"
"TVS18","TVS 30V SMF","TopLayer","SMF","965.551","454.724","90","TVS DIODE 30VWM 48.4VC SMF","965.551","454.724"
"TVS17","TVS 30V SMF","TopLayer","SMF","881.890","454.724","90","TVS DIODE 30VWM 48.4VC SMF","881.890","454.724"
"TVS16","TVS 30V SMF","TopLayer","SMF","2788.047","493.700","90","TVS DIODE 30VWM 48.4VC SMF","2788.047","493.700"
"TVS15","TVS 30V SMF","TopLayer","SMF","2871.709","493.700","90","TVS DIODE 30VWM 48.4VC SMF","2871.709","493.700"
"TVS14","TVS 30V SMF","TopLayer","SMF","2411.079","455.314","90","TVS DIODE 30VWM 48.4VC SMF","2411.079","455.314"
"TVS13","TVS 30V SMF","TopLayer","SMF","2326.433","454.330","90","TVS DIODE 30VWM 48.4VC SMF","2326.433","454.330"
"TVS12","TVS 30V SMF","TopLayer","SMF","3509.504","493.700","90","TVS DIODE 30VWM 48.4VC SMF","3509.504","493.700"
"TVS11","TVS 30V SMF","TopLayer","SMF","3594.149","493.700","90","TVS DIODE 30VWM 48.4VC SMF","3594.149","493.700"
