Altium Designer Pick and Place Locations
C:\Users\Johnny\Documents\Projects\Archim\Project Outputs\Archim2_2.1a_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       27/08/18
Time:       14:36
Revision:   08fdb3f315fab985a0859bbbde9d03a8bd8e43e8
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)"
"J28","HDR10","TopLayer","HDR2X5_IDC","3189.764","-848.622","360","CONN HEADER VERT 10POS GOLD","3189.764","-848.622"
"D1","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","2625.787","-318.898","90","TVS DIODE 3.3VWM 10.4VC SOD923","2625.787","-318.898"
"C203","100nF","TopLayer","C0603","2643.701","780.315","90","CAP CER 0603 100nF 50V 10% X7R","2643.701","780.315"
"C202","100nF","TopLayer","C0603","2826.772","682.874","360","CAP CER 0603 100nF 50V 10% X7R","2826.772","682.874"
"C199","100nF","TopLayer","C0603","2722.441","683.858","360","CAP CER 0603 100nF 50V 10% X7R","2722.441","683.858"
"U19","INA381A2","TopLayer","WSON8_2X2MM","2430.590","791.536","270","IC COMPARATOR BIDIR 8WSON","2430.590","781.300"
"U20","78L05","TopLayer","SOT-89-3","2712.599","808.858","360","IC REG LINEAR 5V 100MA SOT89-3","2779.528","808.858"
"R148","0.01R","TopLayer","R0805","2565.945","826.575","270","RES 0.01 OHM 1% 1/2W 0805","2565.945","826.575"
"R119","10K","TopLayer","R0402","2359.724","741.879","270","RES SMD 10K OHM 1% 1/16W 0402","2359.724","741.930"
"R115","15K","TopLayer","R0402","2319.370","741.981","90","RES SMD 15K 1% 1/16W 0402","2319.370","741.930"
"R102","1k","TopLayer","R0402","2340.775","824.607","180","RES 0402 1k 63mW 1%","2340.826","824.607"
"C201","100nF","TopLayer","C0402","2457.527","858.905","180","CAP CER 0402 100nF 16V 10% X7R","2457.677","858.905"
"C200","100nF","TopLayer","C0402","2642.716","873.969","90","CAP CER 0402 100nF 16V 10% X7R","2642.716","873.819"
"C198","C0402TBD","TopLayer","C0402","2503.937","783.418","90","Capacitor Non Polarized","2503.937","783.268"
"U1","TPS54531","TopLayer","SOIC127P600X170_HS-9L","3172.346","1462.700","180","IC REG BUCK ADJ 5A 8SOPWRPAD","3172.346","1462.700"
"L1","4.7uH","TopLayer","IND_10X10","2697.362","1399.409","180","FIXED IND 4.7UH 10A 15.5 MOHM","2697.362","1399.409"
"D2","SK54B","TopLayer","SMB_DO-214AA_LRG","3138.346","1271.700","360","DIODE SCHOTTKY 40V 5A SMB_DO214AA","3138.346","1271.700"
"R10","37.4k","TopLayer","R0402","2950.397","1570.700","360","RES SMD 37.4K OHM 1% 1/16W 0402","2950.346","1570.700"
"R5","1.96k","TopLayer","R0402","2991.193","1611.024","360","RES SMD 1.96K OHM 1% 1/16W 0402","2991.142","1611.024"
"C171","10nF","TopLayer","C0402","3263.930","1587.402","360","CAP CER 10nF 50V X7R 0402","3263.780","1587.402"
"C151","22pF","TopLayer","C0402","2950.937","1531.299","360","CAP CER 0402 22pF 50V 5% C0G","2950.787","1531.299"
"C150","2.2nF","TopLayer","C0402","3009.346","1549.550","270","CAP CER 0402 2.2nF 25V C0G","3009.346","1549.700"
"C71","10nF","TopLayer","C0402","3326.772","1388.733","90","CAP CER 10nF 50V X7R 0402","3326.772","1388.583"
"C7","4.7uF","TopLayer","C1210","3408.976","1281.299","90","CAP CER 4.7UF 50V X7R 1210","3408.976","1281.299"
"R2","130k","TopLayer","R0402","3323.346","1564.649","270","RES SMD 130K OHM 5% 1/16W 0402","3323.346","1564.700"
"C1","100nF","TopLayer","C0603","2967.047","1277.361","90","CAP CER 0603 100nF 50V 10% X7R","2967.047","1277.361"
"C3","10pF","TopLayer","C0402","3163.236","1589.370","180","CAP CER 10PF 50V 5% NP0 0402","3163.386","1589.370"
"C5","47uF","TopLayer","C1210","2646.181","994.881","180","CAP CER 47UF 10V X5R 1210","2646.181","994.881"
"C4","47uF","TopLayer","C1210","2646.181","1125.787","180","CAP CER 47UF 10V X5R 1210","2646.181","1125.787"
"C6","4.7uF","TopLayer","C1210","3539.882","1281.299","90","CAP CER 4.7UF 50V X7R 1210","3539.882","1281.299"
"R1","10.2k","TopLayer","R0402","3084.595","1589.370","180","RES SMD 10.2K OHM 1% 1/16W 0402","3084.646","1589.370"
"R11","665k","TopLayer","R0402","3323.346","1486.649","270","RES SMD 665K OHM 1% 1/16W 0402","3323.346","1486.700"
"R75","100K","TopLayer","R0402","2927.794","-219.260","360","RES SMD 100K OHM 1% 1/16W 0402","2927.743","-219.260"
"TVS3","TVS 30V SMF","TopLayer","SMF","549.724","-1863.387","90","TVS DIODE 30VWM 48.4VC SMF","549.724","-1863.387"
"FB29","120R","TopLayer","FB0603","368.456","36.933","90","FERRITE BEAD 120 OHM 0603 1LN","368.456","36.933"
"U18","TLP293","TopLayer","SO-4","199.484","541.131","180","Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO","199.484","541.131"
"R152","1k","TopLayer","R0402","417.086","485.157","180","RES 0402 1k 63mW 1%","417.137","485.157"
"R151","10K","TopLayer","R0402","70.672","458.255","270","RES SMD 10K OHM 1% 1/16W 0402","70.672","458.306"
"R150","10K","TopLayer","R0402","227.613","456.663","360","RES SMD 10K OHM 1% 1/16W 0402","227.562","456.663"
"Q8","MMBT3904","TopLayer","SOT523_SMALL","160.044","420.570","0","TRANS NPN 60V 0.2A SOT523","160.044","420.570"
"R149","100R","TopLayer","R0402","365.158","-1008.122","270","RES SMD 100 OHM 1% 1/16W 0402","365.158","-1008.071"
"C169","100nF","TopLayer","C0402","1197.850","-563.921","180","CAP CER 0402 100nF 16V 10% X7R","1198.000","-563.921"
"FB28","120R","TopLayer","FB0603","1174.867","373.448","180","FERRITE BEAD 120 OHM 0603 1LN","1174.867","373.448"
"D73","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","3307.874","-314.961","360","TVS DIODE 3.3VWM 10.4VC SOD923","3307.874","-314.961"
"D72","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","3307.874","-356.299","360","TVS DIODE 3.3VWM 10.4VC SOD923","3307.874","-356.299"
"D71","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","930.000","-1029.481","180","TVS DIODE 3.3VWM 10.4VC SOD923","930.000","-1029.481"
"D42","ESD9X3.3ST5G","TopLayer","SOD923-100X40-2N","84.787","-946.946","360","TVS DIODE 3.3VWM 10.4VC SOD923","84.787","-946.946"
"C167","100nF","TopLayer","C0402","471.150","-813.000","360","CAP CER 0402 100nF 16V 10% X7R","471.000","-813.000"
"C166","100nF","TopLayer","C0402","2978.000","-1058.071","180","CAP CER 0402 100nF 16V 10% X7R","2978.150","-1058.071"
"C165","100nF","TopLayer","C0402","1779.192","738.591","360","CAP CER 0402 100nF 16V 10% X7R","1779.042","738.591"
"C164","100nF","TopLayer","C0402","567.000","-936.331","90","CAP CER 0402 100nF 16V 10% X7R","567.000","-936.481"
"FB27","120R","TopLayer","FB0603","1177.953","-673.228","90","FERRITE BEAD 120 OHM 0603 1LN","1177.953","-673.228"
"FB22","120R","TopLayer","FB0603","3597.953","-1078.938","90","FERRITE BEAD 120 OHM 0603 1LN","3597.953","-1078.938"
"U17","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","1715.724","-1534.841","90","IC STEPPER MOTOR DVR SPI 36QFN","1715.724","-1534.841"
"U16","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","993.283","-1534.841","90","IC STEPPER MOTOR DVR SPI 36QFN","993.283","-1534.841"
"U14","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","3160.606","-1534.841","90","IC STEPPER MOTOR DVR SPI 36QFN","3160.606","-1534.841"
"U13","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","2438.165","-1534.841","90","IC STEPPER MOTOR DVR SPI 36QFN","2438.165","-1534.841"
"TVS20","TVS 30V SMF","TopLayer","SMF","1186.811","-1863.189","90","TVS DIODE 30VWM 48.4VC SMF","1186.811","-1863.189"
"TVS19","TVS 30V SMF","TopLayer","SMF","1272.166","-1863.387","90","TVS DIODE 30VWM 48.4VC SMF","1272.166","-1863.387"
"TVS18","TVS 30V SMF","TopLayer","SMF","811.811","-1902.559","90","TVS DIODE 30VWM 48.4VC SMF","811.811","-1902.559"
"TVS17","TVS 30V SMF","TopLayer","SMF","726.181","-1902.559","90","TVS DIODE 30VWM 48.4VC SMF","726.181","-1902.559"
"TVS16","TVS 30V SMF","TopLayer","SMF","2631.693","-1863.189","90","TVS DIODE 30VWM 48.4VC SMF","2631.693","-1863.189"
"TVS15","TVS 30V SMF","TopLayer","SMF","2717.323","-1863.189","90","TVS DIODE 30VWM 48.4VC SMF","2717.323","-1863.189"
"TVS14","TVS 30V SMF","TopLayer","SMF","2256.693","-1903.543","90","TVS DIODE 30VWM 48.4VC SMF","2256.693","-1903.543"
"TVS13","TVS 30V SMF","TopLayer","SMF","2171.433","-1903.151","90","TVS DIODE 30VWM 48.4VC SMF","2171.433","-1903.151"
"TVS12","TVS 30V SMF","TopLayer","SMF","3353.150","-1863.189","90","TVS DIODE 30VWM 48.4VC SMF","3353.150","-1863.189"
"TVS11","TVS 30V SMF","TopLayer","SMF","3438.780","-1863.189","90","TVS DIODE 30VWM 48.4VC SMF","3438.780","-1863.189"
"TVS10","TVS 30V SMF","TopLayer","SMF","2980.118","-1901.575","90","TVS DIODE 30VWM 48.4VC SMF","2980.118","-1901.575"
"TVS9","TVS 30V SMF","TopLayer","SMF","2894.488","-1901.575","90","TVS DIODE 30VWM 48.4VC SMF","2894.488","-1901.575"
"TVS8","TVS 30V SMF","TopLayer","SMF","1909.252","-1864.173","90","TVS DIODE 30VWM 48.4VC SMF","1909.252","-1864.173"
"TVS7","TVS 30V SMF","TopLayer","SMF","1994.882","-1864.173","90","TVS DIODE 30VWM 48.4VC SMF","1994.882","-1864.173"
"TVS6","TVS 30V SMF","TopLayer","SMF","1535.236","-1901.575","90","TVS DIODE 30VWM 48.4VC SMF","1535.236","-1901.575"
"TVS5","TVS 30V SMF","TopLayer","SMF","1449.606","-1901.575","90","TVS DIODE 30VWM 48.4VC SMF","1449.606","-1901.575"
"TVS4","TVS 30V SMF","TopLayer","SMF","464.370","-1863.189","90","TVS DIODE 30VWM 48.4VC SMF","464.370","-1863.189"
"TVS2","TVS 30V SMF","TopLayer","SMF","89.370","-1902.559","90","TVS DIODE 30VWM 48.4VC SMF","89.370","-1902.559"
"TVS1","TVS 30V SMF","TopLayer","SMF","4.449","-1902.757","90","TVS DIODE 30VWM 48.4VC SMF","4.449","-1902.757"
"R130","10K","TopLayer","R0402","1795.787","-1376.918","90","RES SMD 10K OHM 1% 1/16W 0402","1795.787","-1376.969"
"R129","10R","TopLayer","R0402","1675.949","-1367.000","180","RES SMD 10 OHM 1% 1/16W 0402","1676.000","-1367.000"
"R128","10K","TopLayer","R0402","1750.051","-1292.000","360","RES SMD 10K OHM 1% 1/16W 0402","1750.000","-1292.000"
"R127","5.6k","TopLayer","R0402","1749.051","-1211.000","360","RES SMD 5.6K OHM 1% 1/16W 0402","1749.000","-1211.000"
"R124","0.12R","TopLayer","R1206","764.299","-1632.087","360","RES 0.12 OHM 1% 1/2W 1206","764.292","-1632.087"
"R123","10K","TopLayer","R0402","1075.315","-1374.162","90","RES SMD 10K OHM 1% 1/16W 0402","1075.315","-1374.213"
"R122","10R","TopLayer","R0402","952.949","-1367.000","180","RES SMD 10 OHM 1% 1/16W 0402","953.000","-1367.000"
"R121","10K","TopLayer","R0402","1028.051","-1291.000","360","RES SMD 10K OHM 1% 1/16W 0402","1028.000","-1291.000"
"R118","5.6k","TopLayer","R0402","1027.051","-1210.000","360","RES SMD 5.6K OHM 1% 1/16W 0402","1027.000","-1210.000"
"R116","0.12R","TopLayer","R1206","499.795","-1631.890","180","RES 0.12 OHM 1% 1/2W 1206","499.803","-1631.890"
"R113","0.12R","TopLayer","R1206","41.858","-1632.087","360","RES 0.12 OHM 1% 1/2W 1206","41.850","-1632.087"
"R112","10K","TopLayer","R0402","354.842","-1376.131","90","RES SMD 10K OHM 1% 1/16W 0402","354.842","-1376.182"
"R110","10K","TopLayer","R0402","301.051","-1300.000","360","RES SMD 10K OHM 1% 1/16W 0402","301.000","-1300.000"
"R106","0.12R","TopLayer","R1206","3389.559","-1631.890","180","RES 0.12 OHM 1% 1/2W 1206","3389.567","-1631.890"
"R105","0.12R","TopLayer","R1206","2930.914","-1632.874","360","RES 0.12 OHM 1% 1/2W 1206","2930.905","-1632.874"
"R104","10K","TopLayer","R0402","3240.669","-1378.099","90","RES SMD 10K OHM 1% 1/16W 0402","3240.669","-1378.150"
"R103","10R","TopLayer","R0402","3117.949","-1366.000","180","RES SMD 10 OHM 1% 1/16W 0402","3118.000","-1366.000"
"R95","2k37","TopLayer","R0402","3421.012","-353.347","180","RES SMD 2.37K OHM 1% 1/16W 0402","3421.063","-353.347"
"R94","2k37","TopLayer","R0402","3421.114","-273.622","360","RES SMD 2.37K OHM 1% 1/16W 0402","3421.063","-273.622"
"R93","4.7K","TopLayer","R0402","3421.012","-312.992","180","RES SMD 4.7K OHM 1% 1/16W 0402","3421.063","-312.992"
"R92","2k37","TopLayer","R0402","3198.571","-343.504","180","RES SMD 2.37K OHM 1% 1/16W 0402","3198.622","-343.504"
"R91","2k37","TopLayer","R0402","3198.673","-265.748","360","RES SMD 2.37K OHM 1% 1/16W 0402","3198.622","-265.748"
"R90","4.7K","TopLayer","R0402","3198.374","-304.134","180","RES SMD 4.7K OHM 1% 1/16W 0402","3198.425","-304.134"
"R88","5.6k","TopLayer","R0402","3190.421","-1197.048","180","RES SMD 5.6K OHM 1% 1/16W 0402","3190.472","-1197.048"
"R86","0.12R","TopLayer","R1206","2666.504","-1632.482","180","RES 0.12 OHM 1% 1/2W 1206","2666.512","-1632.482"
"R84","0.12R","TopLayer","R1206","2208.843","-1632.482","360","RES 0.12 OHM 1% 1/2W 1206","2208.835","-1632.482"
"R81","2k37","TopLayer","R0402","2695.720","-778.543","360","RES SMD 2.37K OHM 1% 1/16W 0402","2695.669","-778.543"
"R80","4.7K","TopLayer","R0402","2761.614","-678.099","90","RES SMD 4.7K OHM 1% 1/16W 0402","2761.614","-678.150"
"R79","1k","TopLayer","R0402","3040.471","-346.997","360","RES 0402 1k 63mW 1%","3040.420","-346.997"
"R78","100K","TopLayer","R0402","3061.567","-225.319","360","RES SMD 100K OHM 1% 1/16W 0402","3061.516","-225.319"
"R60","10K","TopLayer","R0402","2516.260","-1379.083","90","RES SMD 10K OHM 1% 1/16W 0402","2516.260","-1379.134"
"R59","10R","TopLayer","R0402","2395.949","-1366.000","180","RES SMD 10 OHM 1% 1/16W 0402","2396.000","-1366.000"
"R58","10K","TopLayer","R0402","2471.051","-1294.000","360","RES SMD 10K OHM 1% 1/16W 0402","2471.000","-1294.000"
"R57","5.6k","TopLayer","R0402","2471.051","-1212.000","360","RES SMD 5.6K OHM 1% 1/16W 0402","2471.000","-1212.000"
"R56","5.6k","TopLayer","R0402","2470.949","-1170.000","180","RES SMD 5.6K OHM 1% 1/16W 0402","2471.000","-1170.000"
"R50","2k37","TopLayer","R0402","2561.520","-752.312","90","RES SMD 2.37K OHM 1% 1/16W 0402","2561.520","-752.363"
"R44","2k37","TopLayer","R0402","2500.571","-778.780","360","RES SMD 2.37K OHM 1% 1/16W 0402","2500.520","-778.780"
"J27","Molex 0705430003","TopLayer","4POL254_PIN-IN-PASTE","3340.000","-2212.481","180","Molex 4 Pin Clip Connector - Pin In Paste footprint","3340.000","-2212.481"
