Designator	DISTRIBUTOR	DISTRIBUTOR #	MANUFACTURER	MANUFACTURER #	PART	Quantity	DNI	Comment	Description	PART DESCRIPTION	VALUE	TOLERANCE	EE_SPEC

"C1"	"Digi-Key"	"399-5089-2-ND"	"Kemet"	"C0603C104K5RACTU"	"100nF"	"1"	""	"100nF"	"CAP CER 0603 100nF 50V 10% X7R"	"0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"	"100nF"	"+/- 10%"	"100nF 50V X7R 0603"
"C2, C204, C205, C206, C207, C208"	"DIGI-KEY"	"1276-1013-1-ND"	"Samsung"	"CL03A104KQ3NNNC"	".1uF"	"6"	""	"100nF"	"CAP CER 0.1UF 6.3V 10% X5R 0201"	""	""	"10%"	""
"C3"	"Digikey"	"1276-1139-2-ND"	"Samsung"	"CL05C100JB5NNNC"	"10pF 50V NP0 0402"	"1"	"DNI"	"10pF"	"CAP CER 10PF 50V 5% NP0 0402"	"10pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"	"10pF"	"5%"	"50V"
"C4, C5"	"Digikey"	"490-3887-1-ND"	"Murata"	"GRM32ER61A476KE20L"	"47uF"	"2"	""	"47uF"	"CAP CER 47UF 10V X5R 1210"	"47µF ±10% 10V Ceramic Capacitor X5R 1210 (3225 Metric)"	"47uF"	"10%"	"10V, 3mOhm"
"C6, C7"	"Digikey"	"490-1864-1-ND"	"Murata"	"GRM32ER71H475KA88L"	"4.7uF 1210 50V X7R"	"2"	""	"4.7uF"	"CAP CER 4.7UF 50V X7R 1210"	"4.7µF ±10% 50V Ceramic Capacitor X7R 1210 (3225 Metric)"	"4.7uF"	"10%"	"50V"
"C8, C9, C10, C11, C14, C17, C27, C50"	""	""	""	"DNI-C0603TBD"	""	"8"	"DNI"	"C0603TBD"	"Capacitor Non Polarized"	""	"C0603TBD"	""	""
"C12, C67, C198"	""	""	""	"DNI-C0402TBD"	""	"3"	"DNI"	"C0402TBD"	"Capacitor Non Polarized"	""	"C0402TBD"	""	""
"C13, C35, C47, C48, C58, C59, C61, C62, C64, C74, C75, C78, C79, C83, C94, C96, C97, C98, C99, C100, C104, C110, C126, C127, C128, C129, C130, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148"	"Digi-Key Electronics"	"490-1303-2-ND"	"Murata"	"GRM155R71H102KA01D"	"1nF 50V X7R 0402"	"43"	""	"1nF"	"1000pF 50V Ceramic Capacitor X7R 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)"	"1000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"	"1nF"	"10%"	"50V"
"C15, C36, C88, C89, C90, C95, C105, C106, C112, C113, C114, C119, C120, C125, C131, C132, C155, C156, C176, C177, C178, C183, C184, C189, C190, C191, C196, C197, C199, C202, C203"	"Digi-Key Electronics"	"399-5089-2-ND"	"Kemet"	"C0603C104K5RACTU"	"100nF 50V X7R 0603"	"31"	""	"100nF"	"CAP CER 0603 100nF 50V 10% X7R"	"0.10µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric), 0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"	"100nF"	"10%"	"100nF 50V X7R 0603"
"C16, C38, C93"	"Digi-Key Electronics"	"490-10756-2-ND"	"Murata"	"490-10756-2-ND"	"CAP CER 10UF 50V X5R 1206"	"3"	""	"10uF"	"CAP CER 10UF 50V 10% X5R 1206"	"10µF ±20% 50V Ceramic Capacitor X5R 1206 (3216 Metric)"	"10uF"	"10%"	"50V"
"C18, C19, C20, C21, C22, C23, C26, C28, C29, C31, C33, C39, C44, C45, C46, C51, C52, C54, C56, C63, C65, C66, C68, C69, C73, C76, C80, C81, C82, C85, C92, C101, C103, C109, C116, C117, C123, C152, C153, C161, C162, C163, C164, C165, C166, C167, C168, C170, C174, C180, C181, C187, C193, C194, C200, C201"	"Digi-Key Electronics"	"490-3261-2-ND"	"Murata"	"GRM155R71C104KA88D"	"0.1uF 16V X7R 0402"	"56"	""	"100nF"	"CAP CER 0402 100nF 16V 10% X7R"	"0.10µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"	"100nF"	"10%"	"100nF 16V X7R 0402"
"C24, C30, C32, C34, C60, C102, C107, C108, C118, C121, C122, C154, C172, C173, C182, C185, C186, C195"	"Digi-Key Electronics"	"490-1320-2-ND"	"Murata"	"GRM155R60J105KE19D"	"1uF 6.3V X5R 0402"	"18"	""	"1uF"	"CAP CER 0402 1uF 6.3V 10% X5R"	"1µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"	"1uF"	"10%"	"1uF 6.3V X5R 0402"
"C25, C87, C111, C124, C175, C188, C210"	"Digi-Key Electronics"	"493-2203-2-ND"	"Nichicon"	"UWT1V101MCL1GS"	"100uF 35V SMD Al-El"	"7"	""	"UWT1V101MCL1GS"	"CAP ALUM 100UF 35V 20% SMD"	"100µF 35V Aluminum Capacitors Radial, Can - SMD 1000 Hrs @ 105°C"	"100uF"	"20%"	"100uF 35V Al-El"
"C37, C53, C55, C57, C70, C72"	"Digi-Key Electronics"	"445-11185-1-ND"	"TDK"	"C1608JB0J106K080AB"	"10µF ±10% 6.3V Ceramic Capacitor JB 0603 (1608 Metric)"	"6"	""	"0603"	"CAP CER 10UF 6.3V 10% JB 0603"	"CAP CER 10UF 6.3V 10% JB 0603"	"10uF 6.3VDC, 10uF"	"10%"	"6.3VDC"
"C40, C43, C77, C84, C86, C157, C158, C159, C160, C209, C211"	"Digi-Key Electronics"	"490-7763-1-ND"	"Murata"	"GRM155R71H103JA88D"	"10nF 50V X7R 0402"	"11"	""	"10nF"	"CAP CER 10nF 50V X7R 0402"	"10000pF ±5% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"	"10nF"	"5%"	"50V"
