Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J13        502570-0893_-_MOLEX_SD    350.413mil   1598.461mil        345mil       1596mil    179.646mil   1489.701mil  T         90.00 502570-0893    
TP104      TP-2              3338.583mil    2953.74mil   3338.583mil    2953.74mil   3338.583mil    2953.74mil  B        180.00 TP4            
TP103      TP-2              3338.583mil   3327.756mil   3338.583mil   3327.756mil   3338.583mil   3327.756mil  B        180.00 TP4            
TP66       TP-2              3903.543mil   1853.347mil   3903.543mil   1853.347mil   3903.543mil   1853.347mil  B         90.00 TP4            
TP59       TP-2               261.811mil   2347.441mil    261.811mil   2347.441mil    261.811mil   2347.441mil  B         90.00 TP4            
TP58       TP-2               554.134mil   2313.976mil    554.134mil   2313.976mil    554.134mil   2313.976mil  B         90.00 TP4            
D16        SOD323-R          3958.858mil   3645.658mil   3958.512mil   3645.658mil   4002.512mil   3645.658mil  T        360.00 RSB39VTE-17    
C48        C0603                 1054mil       2435mil       1054mil       2435mil   1027.228mil       2435mil  T        360.00 C0603TBD       
C25        C0603                 1054mil       2941mil       1054mil       2941mil   1027.228mil       2941mil  T        360.00 C0603TBD       
L4         C0603                  245mil       2651mil        245mil       2651mil    271.772mil       2651mil  T        180.00 MPZ1608S221A   
L2         C0603                  527mil       2745mil        527mil       2745mil        527mil   2771.772mil  T        270.00 MPZ1608S221A   
C31        C0402               508.85mil       2818mil        509mil       2818mil      527.7mil       2818mil  T        180.00 1uF            
C40        C0402               508.15mil       2673mil        508mil       2673mil      489.3mil       2673mil  T        360.00 10nF           
C39        C0402                  355mil    2600.15mil        355mil       2600mil        355mil     2581.3mil  T         90.00 100nF          
R42        R0402             1383.949mil       2669mil       1384mil       2669mil   1402.898mil       2669mil  T        180.00 R0402TBD       
D27        SOT886              452.99mil       2591mil        453mil       2591mil    439.713mil   2610.685mil  T        270.00 PRTR5V0U2F     
L5         DLW21HN900SQ2L         564mil       2591mil        564mil       2591mil    597.465mil   2575.252mil  T        180.00 DLW21HN900SQ2L 
R51        R0402              927.051mil       2304mil        927mil       2304mil    908.102mil       2304mil  T        360.00 1k             
R46        R0402             1796.949mil       2637mil       1797mil       2637mil   1815.898mil       2637mil  T        180.00 1k             
S2         KSC721JLFS            2225mil       2994mil       2225mil       2994mil   2138.386mil    3072.74mil  T        360.00 KSC721JLFS     
R39        R0402                 1813mil   2736.949mil       1813mil       2737mil       1813mil   2755.898mil  T        270.00 100K           
R35        R0402                 2025mil   2939.051mil       2025mil       2939mil       2025mil   2920.102mil  T         90.00 100K           
R38        R0402                 1875mil   2737.043mil       1875mil   2736.992mil       1875mil   2718.094mil  T         90.00 100K           
R85        R0402                 2814mil   1423.051mil       2814mil       1423mil       2814mil   1404.102mil  T         90.00 10K            
Q1         SOT23-3            515.402mil    3380.22mil    517.716mil   3379.921mil    557.087mil   3342.519mil  T         90.00 IRLML6346TRPBF 
C77        C0402                 1551mil    1648.15mil       1551mil       1648mil       1551mil     1629.3mil  T         90.00 10nF           
D13        SOD323-R          2085.654mil       3638mil       2086mil       3638mil       2042mil       3638mil  T        180.00 RSB39VTE-17    
D11        SOD323-R              1652mil   3615.346mil       1652mil       3615mil       1652mil       3659mil  T         90.00 RSB39VTE-17    
D8         SOD323-R              1254mil   3615.346mil       1254mil       3615mil       1254mil       3659mil  T         90.00 RSB39VTE-17    
D5         SOD323-R               860mil   3611.346mil        860mil       3611mil        860mil       3655mil  T         90.00 RSB39VTE-17    
D3         SOD323-R           516.654mil       3638mil        517mil       3638mil        473mil       3638mil  T        180.00 RSB39VTE-17    
D17        SMA-SM              678.02mil   3548.228mil     678.15mil   3548.228mil     599.15mil   3548.228mil  T        180.00 B240A-13-F     
D21        SOD323-R           254.346mil       3368mil        254mil       3368mil        298mil       3368mil  T        360.00 RSB39VTE-17    
D2         SMA-SM                 392mil    3552.13mil        392mil       3552mil        392mil       3631mil  T         90.00 B240A-13-F     
U7         SOT26P285X140-6L       2486mil       3047mil       2486mil       3047mil   2448.598mil   2996.803mil  T         90.00 ZXGD3009E6     
U6         SOT26P285X140-6L       1981mil       3198mil       1981mil       3198mil   2031.197mil   3160.598mil  T        180.00 ZXGD3009E6     
U5         SOT26P285X140-6L       1575mil       3242mil       1575mil       3242mil   1625.197mil   3204.598mil  T        180.00 ZXGD3009E6     
